Governance Category,Control,Regulation,Corresponding Rule,Measure,Measure Data
Risk & Compliance,AI Impact Assessment Lifecycle,Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST AI RMF | NY RAISE Act | Washington SB 5827,"Colorado AI Act -> CO-004: Deployers shall complete an impact assessment including purpose, deployment context, data categories, safeguards implemented, and known limitations. || Colorado AI Act -> CO-005: Impact assessments shall be reviewed and updated annually and following any change materially affecting the system's risk of algorithmic discrimination. || EU AI Act -> EU-002: The risk management system shall identify and analyse the known and reasonably foreseeable risks that the high-risk AI system can pose to health, safety or fundamental rights. || EU AI Act -> EU-003: Providers must estimate and evaluate risks that may emerge when the high-risk AI system is used in accordance with its intended purpose and under conditions of reasonably foreseeable misuse. || EU AI Act -> EU-029: Deployers shall conduct a fundamental rights impact assessment prior to deploying a high-risk AI system. || ISO/IEC 42001 -> ISO-005: The organisation shall determine risks and opportunities related to the AI management system that need to be addressed to achieve intended outcomes. || ISO/IEC 42001 -> ISO-006: The organisation shall carry out an AI system impact assessment identifying potential impacts on individuals and society from the AI system. || NIST AI RMF -> NIST-020: AI risk and impact assessments shall include how AI system performance can vary for different user groups, contexts, and conditions including bias and disparate impacts. || NY RAISE Act -> NY-001: Developers and deployers of covered AI systems shall conduct a safety impact assessment for any AI system with potential for catastrophic or critical harm. || Washington SB 5827 -> WA-001: Covered entities shall take reasonable steps to test automated decision systems for algorithmic discrimination before deployment and periodically thereafter.",N/A,N/A
Risk & Compliance,Risk Monitoring,Colorado AI Act | EU AI Act | NIST AI RMF | NY RAISE Act,"Colorado AI Act -> CO-005: Impact assessments shall be reviewed and updated annually and following any change materially affecting the system's risk of algorithmic discrimination. || EU AI Act -> EU-001: Providers of high-risk AI systems shall establish, implement, document and maintain a risk management system as a reasoned, iterative process run throughout the entire lifecycle. || EU AI Act -> EU-004: Risk management measures shall give due consideration to the effects and possible interaction resulting from the combined application of the technical requirements. || NIST AI RMF -> NIST-007: Processes and procedures shall be in place for timely identification of risks and incidents from AI systems through testing, evaluation, verification, validation, and monitoring. || NIST AI RMF -> NIST-009: The risk tolerance of the organization and AI systems shall be established, communicated, and updated throughout the AI lifecycle. || NIST AI RMF -> NIST-011: Policies shall address how AI risks are evaluated including for bias and discrimination, reviewed and updated on a regular basis. || NIST AI RMF -> NIST-027: AI system risks and incidents shall be tracked through the AI lifecycle with evidence maintained for accountability and traceability. || NIST AI RMF -> NIST-028: Responses to identified AI risks shall be managed through prioritisation processes considering risk severity, likelihood, and available controls. || NIST AI RMF -> NIST-029: Mechanisms shall be in place for responsible deployment and ongoing monitoring of AI systems including performance drift, bias drift, and emerging risks. || NY RAISE Act -> NY-002: Developers of covered AI systems shall report serious AI safety incidents to the relevant regulatory authority within 72 hours of becoming aware.","ai.risk.open_high_risks: latest(ai.risk.open_high_risks, window=realtime) lte ? || ai.risk.treatment_completion: latest(ai.risk.treatment_completion, window=realtime) lte ?","ai.risk.open_high_risks, ai.risk.treatment_completion"
Risk & Compliance,AI System Context and Impact Mapping,EU AI Act | ISO/IEC 42001 | NIST AI RMF,"EU AI Act -> EU-002: The risk management system shall identify and analyse the known and reasonably foreseeable risks that the high-risk AI system can pose to health, safety or fundamental rights. || EU AI Act -> EU-008: Training, validation and testing data sets shall account for the specific geographical, contextual, behavioural or functional setting of the intended use. || ISO/IEC 42001 -> ISO-006: The organisation shall carry out an AI system impact assessment identifying potential impacts on individuals and society from the AI system. || NIST AI RMF -> NIST-017: The specific context in which an AI system is intended to be used shall be documented and understood by organisational teams.",N/A,N/A
Risk & Compliance,Conformity Assessment and Registration,EU AI Act | ISO/IEC 42001,"EU AI Act -> EU-030: Providers shall register high-risk AI systems in the EU database before placing them on the market or putting them into service. || ISO/IEC 42001 -> ISO-015: The organisation shall ensure AI systems comply with applicable legal requirements including data protection, privacy, and non-discrimination law.",N/A,N/A
Security,Data Security,EU AI Act | ISO/IEC 42001 | Illinois AI Laws | NIST AI RMF | NIST GenAI Profile,"EU AI Act -> EU-020: Technical robustness shall include resilience against attempts by unauthorised parties to alter system use, outputs, or performance by exploiting vulnerabilities. || ISO/IEC 42001 -> ISO-020: Mechanisms to prevent, detect, and respond to cybersecurity threats specific to AI systems including data poisoning and model evasion shall be implemented. || Illinois AI Laws -> IL-002: Employers shall not share AI-analysed video interview data with third parties except for storage or processing and shall delete data upon request. || NIST AI RMF -> NIST-016: Policies shall be in place to address privacy risks from AI systems including data minimisation, access controls, and anonymisation. || NIST GenAI Profile -> NIST-G02: Organizations shall address data privacy risks specific to generative AI including training data memorisation and inadvertent disclosure of personally identifiable information.","ai.data.dlp_incident_rate: latest(ai.data.dlp_incident_rate, window=realtime) lte ? || ai.data.encryption_coverage: latest(ai.data.encryption_coverage, window=realtime) lte ?","ai.data.dlp_incident_rate, ai.data.encryption_coverage"
Security,Security Governance,EU AI Act | ISO/IEC 42001 | NIST AI RMF,"EU AI Act -> EU-018: High-risk AI systems shall achieve appropriate levels of accuracy, robustness, and cybersecurity, performing consistently throughout their lifecycle. || ISO/IEC 42001 -> ISO-020: Mechanisms to prevent, detect, and respond to cybersecurity threats specific to AI systems including data poisoning and model evasion shall be implemented. || NIST AI RMF -> NIST-014: Organizational policies shall establish processes for reporting, escalating, and resolving issues related to AI systems including privacy, security, bias, and safety.",N/A,N/A
Solution Design,Fairness and Bias Management,Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST AI RMF | NIST GenAI Profile | Texas TRAIGA | Washington SB 5827,"Colorado AI Act -> CO-001: Developers shall use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination. || Colorado AI Act -> CO-002: Deployers shall use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination in consequential decisions. || Colorado AI Act -> CO-003: Deployers shall implement a risk management policy and program for high-risk AI systems including measures to identify, document, and mitigate algorithmic discrimination. || Colorado AI Act -> CO-004: Deployers shall complete an impact assessment including purpose, deployment context, data categories, safeguards implemented, and known limitations. || Colorado AI Act -> CO-009: Developers shall make available documentation sufficient to enable deployers to understand intended uses, known limitations, and measures to manage algorithmic discrimination. || EU AI Act -> EU-006: Training, validation and testing data sets shall be subject to data governance and management practices covering design choices, data collection, preparation, and known biases. || EU AI Act -> EU-007: Training, validation and testing data sets shall be relevant, sufficiently representative, and to the best extent possible free of errors and complete for the intended purpose. || EU AI Act -> EU-009: To detect and correct biases, providers may process special categories of personal data subject to appropriate safeguards. || EU AI Act -> EU-024: High-risk AI systems that continue learning after deployment shall address possibly biased outputs used as inputs for future operations. || EU AI Act -> EU-029: Deployers shall conduct a fundamental rights impact assessment prior to deploying a high-risk AI system. || EU AI Act -> EU-039: AI systems deploying subliminal, manipulative, or deceptive techniques to distort behaviour and impair informed decision-making shall not be placed on the market. || EU AI Act -> EU-040: AI systems that exploit vulnerabilities of a natural person or a specific group of persons shall be prohibited. || ISO/IEC 42001 -> ISO-015: The organisation shall ensure AI systems comply with applicable legal requirements including data protection, privacy, and non-discrimination law. || NIST AI RMF -> NIST-011: Policies shall address how AI risks are evaluated including for bias and discrimination, reviewed and updated on a regular basis. || NIST AI RMF -> NIST-013: Organizational teams shall be committed to diversity, equity, inclusion, and accessibility in AI processes and outcomes. || NIST AI RMF -> NIST-020: AI risk and impact assessments shall include how AI system performance can vary for different user groups, contexts, and conditions including bias and disparate impacts. || NIST AI RMF -> NIST-021: AI systems shall be tested regularly to assess performance including for bias, fairness, robustness, and explainability characteristics. || NIST GenAI Profile -> NIST-G04: Organizations shall implement controls to detect, prevent, and respond to generation of hateful, harassing, violent, or discriminatory content from generative AI systems. || Texas TRAIGA -> TX-001: No person may develop or deploy an AI system with intent to unlawfully discriminate against an individual based on a protected characteristic. || Washington SB 5827 -> WA-001: Covered entities shall take reasonable steps to test automated decision systems for algorithmic discrimination before deployment and periodically thereafter.","ai.fairness.demographic_parity: latest(ai.fairness.demographic_parity, window=realtime) lte ? || ai.fairness.equal_opportunity: latest(ai.fairness.equal_opportunity, window=realtime) lte ?","ai.fairness.demographic_parity, ai.fairness.equal_opportunity"
Solution Design,Human Oversight,Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST GenAI Profile | Texas TRAIGA,"Colorado AI Act -> CO-002: Deployers shall use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination in consequential decisions. || Colorado AI Act -> CO-008: Deployers shall provide consumers with an opportunity to correct information used in a consequential decision and to appeal the decision to a human being. || EU AI Act -> EU-012: High-risk AI systems shall be designed with human–machine interface tools enabling effective oversight by natural persons during use. || EU AI Act -> EU-013: Human oversight measures shall enable oversight persons to understand the AI system's capabilities and limitations and monitor its operation. || EU AI Act -> EU-014: Human oversight measures shall enable oversight persons to be aware of the possible tendency of automatically relying on or over-relying on the AI system output. || EU AI Act -> EU-015: Human oversight persons shall be able to correctly interpret the high-risk AI system's output taking into account the system's characteristics and purpose. || EU AI Act -> EU-016: Human oversight persons shall be able to decide not to use the high-risk AI system or to disregard, override or reverse the output in any situation. || EU AI Act -> EU-017: Human oversight persons shall be able to intervene on the operation of the high-risk AI system or interrupt the system through a stop button or similar procedure. || EU AI Act -> EU-027: Deployers shall use high-risk AI systems in accordance with instructions for use and implement appropriate technical and organisational measures. || EU AI Act -> EU-028: Deployers shall assign human oversight to natural persons with the necessary competence, training, authority, and support. || ISO/IEC 42001 -> ISO-018: Human oversight mechanisms appropriate to the significance of the AI system's potential impacts shall be established. || NIST GenAI Profile -> NIST-G07: Organizations shall assess and mitigate risks of homogenisation of AI outputs and potential over-reliance on generative AI for decision-making. || NIST GenAI Profile -> NIST-G10: Organizations deploying generative AI for high-stakes decisions shall ensure human oversight capable of reviewing, explaining, and reversing AI-generated outputs. || Texas TRAIGA -> TX-002: State agencies deploying AI systems for consequential decisions shall disclose to affected individuals that AI was used in the decision-making process. || Texas TRAIGA -> TX-003: State agencies shall ensure AI systems used for consequential decisions are subject to human oversight including the ability to review and override AI recommendations.","ai.oversight.override_rate: latest(ai.oversight.override_rate, window=realtime) lte ? || ai.oversight.review_rate: latest(ai.oversight.review_rate, window=realtime) lte ?","ai.oversight.override_rate, ai.oversight.review_rate"
Solution Design,Robustness,EU AI Act | ISO/IEC 42001 | NIST AI RMF | NIST GenAI Profile,"EU AI Act -> EU-005: High-risk AI systems shall be tested to identify the most appropriate risk management measures, ensuring consistent performance for their intended purpose. || EU AI Act -> EU-018: High-risk AI systems shall achieve appropriate levels of accuracy, robustness, and cybersecurity, performing consistently throughout their lifecycle. || EU AI Act -> EU-019: High-risk AI systems shall be resilient against errors, faults, or inconsistencies arising from their interaction with natural persons or other systems. || EU AI Act -> EU-020: Technical robustness shall include resilience against attempts by unauthorised parties to alter system use, outputs, or performance by exploiting vulnerabilities. || ISO/IEC 42001 -> ISO-019: Safety controls for AI systems shall address both foreseeable misuse and unintended outcomes during operation. || NIST AI RMF -> NIST-015: Policies shall be in place to address how AI systems are tested, evaluated, verified, and validated before being deployed. || NIST AI RMF -> NIST-021: AI systems shall be tested regularly to assess performance including for bias, fairness, robustness, and explainability characteristics. || NIST AI RMF -> NIST-023: AI system performance shall be evaluated against intended use requirements including performance metrics, uncertainty analysis, and calibration. || NIST AI RMF -> NIST-025: AI system security, resilience, and robustness shall be evaluated and documented including against adversarial attacks and unintended interactions. || NIST GenAI Profile -> NIST-G01: Organizations shall implement measures to detect and mitigate confabulation (hallucination) risks from generative AI including factual accuracy verification processes. || NIST GenAI Profile -> NIST-G06: Organizations shall implement controls to prevent, detect, and respond to prompt injection attacks against generative AI systems.","ai.robustness.drift_score: latest(ai.robustness.drift_score, window=realtime) lte ? || ai.robustness.uptime: latest(ai.robustness.uptime, window=realtime) lte ?","ai.robustness.drift_score, ai.robustness.uptime"
Solution Design,Algorithmic Discrimination Testing,Colorado AI Act | EU AI Act | NIST AI RMF | Texas TRAIGA | Washington SB 5827,"Colorado AI Act -> CO-001: Developers shall use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination. || Colorado AI Act -> CO-002: Deployers shall use reasonable care to protect consumers from known or reasonably foreseeable risks of algorithmic discrimination in consequential decisions. || Colorado AI Act -> CO-003: Deployers shall implement a risk management policy and program for high-risk AI systems including measures to identify, document, and mitigate algorithmic discrimination. || Colorado AI Act -> CO-011: Deployers shall implement and maintain a governance program including ongoing testing for algorithmic discrimination, reporting mechanisms, and staff training. || EU AI Act -> EU-009: To detect and correct biases, providers may process special categories of personal data subject to appropriate safeguards. || NIST AI RMF -> NIST-011: Policies shall address how AI risks are evaluated including for bias and discrimination, reviewed and updated on a regular basis. || NIST AI RMF -> NIST-020: AI risk and impact assessments shall include how AI system performance can vary for different user groups, contexts, and conditions including bias and disparate impacts. || Texas TRAIGA -> TX-001: No person may develop or deploy an AI system with intent to unlawfully discriminate against an individual based on a protected characteristic. || Washington SB 5827 -> WA-001: Covered entities shall take reasonable steps to test automated decision systems for algorithmic discrimination before deployment and periodically thereafter. || Washington SB 5827 -> WA-003: Covered entities shall maintain documentation of testing methodologies and results for automated decision systems for a period sufficient to demonstrate compliance.",N/A,N/A
Solution Design,Explainability,EU AI Act | ISO/IEC 42001 | NIST AI RMF | NIST GenAI Profile,"EU AI Act -> EU-015: Human oversight persons shall be able to correctly interpret the high-risk AI system's output taking into account the system's characteristics and purpose. || EU AI Act -> EU-025: High-risk AI systems shall be sufficiently transparent to enable deployers to interpret the system's output and use it appropriately. || ISO/IEC 42001 -> ISO-016: Processes for transparency and explainability appropriate to context, impact, and regulatory requirements shall be established. || NIST AI RMF -> NIST-021: AI systems shall be tested regularly to assess performance including for bias, fairness, robustness, and explainability characteristics. || NIST AI RMF -> NIST-024: Explainability and interpretability shall be evaluated as appropriate to the AI system's risk classification and use context. || NIST GenAI Profile -> NIST-G01: Organizations shall implement measures to detect and mitigate confabulation (hallucination) risks from generative AI including factual accuracy verification processes. || NIST GenAI Profile -> NIST-G10: Organizations deploying generative AI for high-stakes decisions shall ensure human oversight capable of reviewing, explaining, and reversing AI-generated outputs.","ai.explain.coverage_rate: latest(ai.explain.coverage_rate, window=realtime) lte ? || ai.explain.user_satisfaction: latest(ai.explain.user_satisfaction, window=realtime) lte ?","ai.explain.coverage_rate, ai.explain.user_satisfaction"
Solution Design,Safety,EU AI Act | ISO/IEC 42001 | NIST AI RMF | NIST GenAI Profile,"EU AI Act -> EU-017: Human oversight persons shall be able to intervene on the operation of the high-risk AI system or interrupt the system through a stop button or similar procedure. || EU AI Act -> EU-039: AI systems deploying subliminal, manipulative, or deceptive techniques to distort behaviour and impair informed decision-making shall not be placed on the market. || EU AI Act -> EU-040: AI systems that exploit vulnerabilities of a natural person or a specific group of persons shall be prohibited. || ISO/IEC 42001 -> ISO-019: Safety controls for AI systems shall address both foreseeable misuse and unintended outcomes during operation. || NIST AI RMF -> NIST-005: Organizational policies and practices shall foster a critical thinking and safety-first mindset in the design, development, deployment, and use of AI systems. || NIST GenAI Profile -> NIST-G03: Organizations shall assess and mitigate risks of generative AI producing content enabling development of chemical, biological, radiological, or nuclear weapons. || NIST GenAI Profile -> NIST-G04: Organizations shall implement controls to detect, prevent, and respond to generation of hateful, harassing, violent, or discriminatory content from generative AI systems.",N/A,N/A
Solution Design,Adverse Decision Appeal Rights,Colorado AI Act | EU AI Act | Illinois AI Laws | NIST GenAI Profile | Texas TRAIGA,"Colorado AI Act -> CO-008: Deployers shall provide consumers with an opportunity to correct information used in a consequential decision and to appeal the decision to a human being. || EU AI Act -> EU-016: Human oversight persons shall be able to decide not to use the high-risk AI system or to disregard, override or reverse the output in any situation. || Illinois AI Laws -> IL-001: Employers using AI to analyse video interviews shall notify applicants that AI will be used, explain what it evaluates, and obtain consent before use. || NIST GenAI Profile -> NIST-G10: Organizations deploying generative AI for high-stakes decisions shall ensure human oversight capable of reviewing, explaining, and reversing AI-generated outputs. || Texas TRAIGA -> TX-003: State agencies shall ensure AI systems used for consequential decisions are subject to human oversight including the ability to review and override AI recommendations.","ai.appeals.rate: latest(ai.appeals.rate, window=realtime) lte ? || ai.appeals.resolution_time: latest(ai.appeals.resolution_time, window=realtime) lte ?","ai.appeals.rate, ai.appeals.resolution_time"
Solution Design,Catastrophic Harm Assessment,NIST GenAI Profile | NY RAISE Act,"NIST GenAI Profile -> NIST-G03: Organizations shall assess and mitigate risks of generative AI producing content enabling development of chemical, biological, radiological, or nuclear weapons. || NY RAISE Act -> NY-001: Developers and deployers of covered AI systems shall conduct a safety impact assessment for any AI system with potential for catastrophic or critical harm.",N/A,N/A
System Performance,Performance Monitoring,EU AI Act | NIST AI RMF | NIST GenAI Profile,"EU AI Act -> EU-013: Human oversight measures shall enable oversight persons to understand the AI system's capabilities and limitations and monitor its operation. || EU AI Act -> EU-018: High-risk AI systems shall achieve appropriate levels of accuracy, robustness, and cybersecurity, performing consistently throughout their lifecycle. || EU AI Act -> EU-023: Providers shall actively monitor high-risk AI system performance after deployment and report serious incidents without undue delay to market surveillance authorities. || NIST AI RMF -> NIST-007: Processes and procedures shall be in place for timely identification of risks and incidents from AI systems through testing, evaluation, verification, validation, and monitoring. || NIST AI RMF -> NIST-023: AI system performance shall be evaluated against intended use requirements including performance metrics, uncertainty analysis, and calibration. || NIST AI RMF -> NIST-029: Mechanisms shall be in place for responsible deployment and ongoing monitoring of AI systems including performance drift, bias drift, and emerging risks. || NIST GenAI Profile -> NIST-G01: Organizations shall implement measures to detect and mitigate confabulation (hallucination) risks from generative AI including factual accuracy verification processes. || NIST GenAI Profile -> NIST-G07: Organizations shall assess and mitigate risks of homogenisation of AI outputs and potential over-reliance on generative AI for decision-making.","ai.model.accuracy: latest(ai.model.accuracy, window=realtime) lte ? || ai.model.error_rate: latest(ai.model.error_rate, window=realtime) lte ? || ai.model.hallucination_rate: latest(ai.model.hallucination_rate, window=realtime) lte ? || ai.model.latency_p95: latest(ai.model.latency_p95, window=realtime) lte ?","ai.model.accuracy, ai.model.error_rate, ai.model.hallucination_rate, ai.model.latency_p95"
System Performance,Continuous Improvement,EU AI Act | ISO/IEC 42001 | NIST AI RMF,"EU AI Act -> EU-024: High-risk AI systems that continue learning after deployment shall address possibly biased outputs used as inputs for future operations. || ISO/IEC 42001 -> ISO-008: The organisation shall plan how to achieve AI objectives including resources required and how results will be evaluated. || ISO/IEC 42001 -> ISO-012: Internal audits shall be conducted at planned intervals to confirm the AI management system conforms to requirements and is effectively implemented. || ISO/IEC 42001 -> ISO-013: Top management shall review the AI management system at planned intervals to ensure continuing suitability, adequacy, and effectiveness. || ISO/IEC 42001 -> ISO-014: The organisation shall continually improve the suitability, adequacy, and effectiveness of the AI management system. || NIST AI RMF -> NIST-029: Mechanisms shall be in place for responsible deployment and ongoing monitoring of AI systems including performance drift, bias drift, and emerging risks.",N/A,N/A
System Performance,Incident Detection,ISO/IEC 42001 | NIST AI RMF | NIST GenAI Profile,"ISO/IEC 42001 -> ISO-020: Mechanisms to prevent, detect, and respond to cybersecurity threats specific to AI systems including data poisoning and model evasion shall be implemented. || NIST AI RMF -> NIST-007: Processes and procedures shall be in place for timely identification of risks and incidents from AI systems through testing, evaluation, verification, validation, and monitoring. || NIST AI RMF -> NIST-014: Organizational policies shall establish processes for reporting, escalating, and resolving issues related to AI systems including privacy, security, bias, and safety. || NIST GenAI Profile -> NIST-G03: Organizations shall assess and mitigate risks of generative AI producing content enabling development of chemical, biological, radiological, or nuclear weapons. || NIST GenAI Profile -> NIST-G04: Organizations shall implement controls to detect, prevent, and respond to generation of hateful, harassing, violent, or discriminatory content from generative AI systems. || NIST GenAI Profile -> NIST-G06: Organizations shall implement controls to prevent, detect, and respond to prompt injection attacks against generative AI systems.","ai.incident.detection_rate: latest(ai.incident.detection_rate, window=realtime) lte ? || ai.incident.mttd: latest(ai.incident.mttd, window=realtime) lte ?","ai.incident.detection_rate, ai.incident.mttd"
System Performance,Incident Analysis,NIST AI RMF,"NIST AI RMF -> NIST-014: Organizational policies shall establish processes for reporting, escalating, and resolving issues related to AI systems including privacy, security, bias, and safety. || NIST AI RMF -> NIST-027: AI system risks and incidents shall be tracked through the AI lifecycle with evidence maintained for accountability and traceability. || NIST AI RMF -> NIST-028: Responses to identified AI risks shall be managed through prioritisation processes considering risk severity, likelihood, and available controls.",N/A,N/A
System Performance,Incident Reporting,EU AI Act | NIST AI RMF | NY RAISE Act,"EU AI Act -> EU-023: Providers shall actively monitor high-risk AI system performance after deployment and report serious incidents without undue delay to market surveillance authorities. || NIST AI RMF -> NIST-014: Organizational policies shall establish processes for reporting, escalating, and resolving issues related to AI systems including privacy, security, bias, and safety. || NY RAISE Act -> NY-002: Developers of covered AI systems shall report serious AI safety incidents to the relevant regulatory authority within 72 hours of becoming aware.",N/A,N/A
System Performance,Event Logging,EU AI Act | NIST AI RMF,EU AI Act -> EU-022: Providers shall keep logs automatically generated by their high-risk AI system for a period appropriate to the intended purpose. || NIST AI RMF -> NIST-027: AI system risks and incidents shall be tracked through the AI lifecycle with evidence maintained for accountability and traceability.,"ai.logs.coverage_rate: latest(ai.logs.coverage_rate, window=realtime) lte ? || ai.logs.retention_days: latest(ai.logs.retention_days, window=realtime) lte ?","ai.logs.coverage_rate, ai.logs.retention_days"
System Performance,Regulatory Safety Incident Reporting 72hr,NY RAISE Act,NY RAISE Act -> NY-002: Developers of covered AI systems shall report serious AI safety incidents to the relevant regulatory authority within 72 hours of becoming aware.,N/A,N/A
Technical Architecture,Technical Documentation,California AI Laws | Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST AI RMF | NIST GenAI Profile | Washington SB 5827,"California AI Laws -> CA-001: Providers of AI systems with over 1 million monthly users shall implement a latent disclosure mechanism enabling detection of AI-generated or AI-modified content. || Colorado AI Act -> CO-004: Deployers shall complete an impact assessment including purpose, deployment context, data categories, safeguards implemented, and known limitations. || Colorado AI Act -> CO-009: Developers shall make available documentation sufficient to enable deployers to understand intended uses, known limitations, and measures to manage algorithmic discrimination. || EU AI Act -> EU-010: Providers shall draw up technical documentation before placing a high-risk AI system on the market and keep it up to date throughout the lifecycle. || EU AI Act -> EU-011: Technical documentation shall contain at minimum a general description, detailed development process, monitoring, functioning and control of the system per Annex IV. || EU AI Act -> EU-026: High-risk AI systems shall be accompanied by instructions for use including identity of provider, intended purpose, accuracy level, and known risk circumstances. || ISO/IEC 42001 -> ISO-007: Documented information on AI risk treatment plans shall be maintained including controls selected, rationale, and residual risk. || ISO/IEC 42001 -> ISO-011: Documented information as evidence of competence shall be maintained for persons working on AI systems. || NIST AI RMF -> NIST-017: The specific context in which an AI system is intended to be used shall be documented and understood by organisational teams. || NIST GenAI Profile -> NIST-G08: Organizations shall implement controls for responsible disclosure of AI-generated content including synthetic media watermarking and provenance tracking. || Washington SB 5827 -> WA-003: Covered entities shall maintain documentation of testing methodologies and results for automated decision systems for a period sufficient to demonstrate compliance.",N/A,N/A
Technical Architecture,Model Cards and Dataset Documentation,California AI Laws | Colorado AI Act | EU AI Act | ISO/IEC 42001 | NIST GenAI Profile,"California AI Laws -> CA-003: Providers of generative AI systems shall publish information about the provenance of training data used to develop the AI system including sources and collection methods. || California AI Laws -> CA-004: Training data documentation shall include percentage of data from licensed, purchased, or public domain sources and whether data includes personal information. || Colorado AI Act -> CO-010: Developers shall publish a website statement summarising types of high-risk AI systems developed and measures taken to manage algorithmic discrimination. || EU AI Act -> EU-006: Training, validation and testing data sets shall be subject to data governance and management practices covering design choices, data collection, preparation, and known biases. || EU AI Act -> EU-011: Technical documentation shall contain at minimum a general description, detailed development process, monitoring, functioning and control of the system per Annex IV. || ISO/IEC 42001 -> ISO-017: Data governance procedures shall cover data quality, provenance, protection of personal data, and management of training data. || NIST GenAI Profile -> NIST-G05: Organizations shall implement measures to address intellectual property risks from generative AI including copyright infringement in training data and generated outputs. || NIST GenAI Profile -> NIST-G09: Organizations shall address value chain and supply chain risks for generative AI including third-party model and data provenance documentation.",N/A,N/A
Technical Architecture,Software Security,EU AI Act | ISO/IEC 42001 | NIST AI RMF | NIST GenAI Profile,"EU AI Act -> EU-019: High-risk AI systems shall be resilient against errors, faults, or inconsistencies arising from their interaction with natural persons or other systems. || EU AI Act -> EU-020: Technical robustness shall include resilience against attempts by unauthorised parties to alter system use, outputs, or performance by exploiting vulnerabilities. || ISO/IEC 42001 -> ISO-020: Mechanisms to prevent, detect, and respond to cybersecurity threats specific to AI systems including data poisoning and model evasion shall be implemented. || NIST AI RMF -> NIST-025: AI system security, resilience, and robustness shall be evaluated and documented including against adversarial attacks and unintended interactions. || NIST GenAI Profile -> NIST-G06: Organizations shall implement controls to prevent, detect, and respond to prompt injection attacks against generative AI systems.","ai.security.pentest_age: latest(ai.security.pentest_age, window=realtime) lte ? || ai.security.vuln_open_critical: latest(ai.security.vuln_open_critical, window=realtime) lte ?","ai.security.pentest_age, ai.security.vuln_open_critical"
Technical Architecture,Change Management,Colorado AI Act | EU AI Act | ISO/IEC 42001,"Colorado AI Act -> CO-005: Impact assessments shall be reviewed and updated annually and following any change materially affecting the system's risk of algorithmic discrimination. || EU AI Act -> EU-024: High-risk AI systems that continue learning after deployment shall address possibly biased outputs used as inputs for future operations. || ISO/IEC 42001 -> ISO-014: The organisation shall continually improve the suitability, adequacy, and effectiveness of the AI management system.",N/A,N/A
Technical Architecture,GPAI Model Governance,NIST GenAI Profile,NIST GenAI Profile -> NIST-G05: Organizations shall implement measures to address intellectual property risks from generative AI including copyright infringement in training data and generated outputs. || NIST GenAI Profile -> NIST-G09: Organizations shall address value chain and supply chain risks for generative AI including third-party model and data provenance documentation.,N/A,N/A
